asins,brand,categories,dateadded,dateupdated,id,imageurls,keys,manufacturer,manufacturernumber,name,primarycategories,reviews.date,reviews.dateadded,reviews.dateseen,reviews.didpurchase,reviews.dorecommend,reviews.id,reviews.numhelpful,reviews.rating,reviews.sourceurls,reviews.text,reviews.title,reviews.usercity,reviews.username,reviews.userprovince,sourceurls,cleaned_review,cluster_label,first_category,meta_category_label,zero_shot_category,zero_shot_score
B01AHB9CN2,Amazon,"['Electronics', 'iPad & Tablets', 'All Tablets', 'Fire Tablets', 'Tablets', 'Computers & Tablets']",,,AVqkIhwDv8e3D1O-lebb,,"841667104676,amazon/53004484,amazon/b01ahb9cn2,0841667104676,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/5620406,allnewfirehd8tablet8hddisplaywifi16gbincludesspecialoffersmagenta/b01ahb9cn2",Amazon,,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 16 GB - Includes Special Offers, Magenta",,2017-01-13T00:00:00.000Z,2017-07-03T23:33:15Z,"2017-06-07T09:04:00.000Z,2017-04-30T00:45:00.000Z",,True,,0.0,5.0,"http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=200,http://reviews.bestbuy.com/3545/5620406/reviews.htm?format=embedded&page=166",This product so far has not disappointed. My children love to use it and I like the ability to monitor control what content they see with ease.,Kindle,,Adapter,,,product far disappointed child love use like ability monitor control content see ease,4,Electronics,0,Accessories,0.3934549391269684
B00VINDBJK,Amazon,"['eBook Readers', 'Kindle E-readers', 'Computers & Tablets', 'E-Readers & Accessories', 'E-Readers']",,,AVqVGZO3nnc1JgDc3jGK,,"kindleoasisereaderwithleatherchargingcovermerlot6highresolutiondisplay300ppiwifiincludesspecialoffers/5234468,amazon/b00vindbjk,kindleoasisereaderwithleatherchargingcovermerlot6highresolutiondisplay300ppiwifiincludesspecialoffers/b00vindbjk,848719069587,0848719069587",Amazon,,"Kindle Oasis E-reader with Leather Charging Cover - Merlot, 6 High-Resolution Display (300 ppi), Wi-Fi - Includes Special Offers,,",,2017-06-30T00:00:00.000Z,2017-07-15T19:01:03Z,"2017-07-09T06:47:00.000Z,2017-07-07T16:01:00.000Z",,True,,0.0,5.0,http://reviews.bestbuy.com/3545/5234468/reviews.htm?format=embedded,Very lightweight and portable with excellent battery life.,Works Great,,Purchaser1,,,lightweight portable excellent battery life,3,eBook Readers,0,Batteries,0.4326743483543396
B005PB2T0S,Amazon,"['Electronics', 'eBook Readers & Accessories', 'Covers', 'Kindle Store', 'Amazon Device Accessories', 'Kindle E-Reader Accessories', 'Kindle (5th Generation) Accessories', 'Kindle (5th Generation) Covers']",,,AVpe9CMS1cnluZ0-aoC5,,amazonkindlelightedleathercover/b005pb2t0s,Amazon,,"Amazon Kindle Lighted Leather Cover,,,
Amazon Kindle Lighted Leather Cover,,,",,2011-11-18T00:00:00.000Z,,"2017-07-21T00:00:00Z,2017-07-15T00:00:00Z,2017-06-30T00:00:00Z,2017-06-17T00:00:00Z,2017-06-07T00:00:00Z,2017-04-11T00:00:00Z,2017-01-29T00:00:00Z",,,,271.0,4.0,"https://www.amazon.com/Amazon-Kindle-Lighted-Leather-Generation/dp/B004SD1ZPY/,https://www.amazon.com/Amazon-Kindle-Lighted-Leather-Generation/dp/B004SD213O/,https://www.amazon.com/Amazon-Lighted-Leather-Paperwhite-Keyboard/dp/B004SD229M/,https://www.amazon.com/Amazon-Kindle-Lighted-Leather-Generation/dp/B004SD20DU/,https://www.amazon.com/Amazon-Lighted-Leather-Paperwhite-Keyboard/dp/B004SD213O,https://www.amazon.com/Amazon-Lighted-Leather-Paperwhite-Keyboard/dp/B004SD1ZPY/,https://www.amazon.com/Amazon-Lighted-Leather-Paperwhite-Keyboard/dp/B004SD213O/,http://www.amazon.com/Amazon-Lighted-Leather-Paperwhite-Keyboard/dp/B004SD213O","Finally received the Kindle Lighted Leather Cover for the newest version Kindle. It is VERY lightweight and I had to double and triple check the description considering it states this is a leather cover. The front cover is very thin with a medium-weight cardboard feel to it. The leather on the front cover is extremely thin and you can immediately tell the surface will be easily scratched and marred with normal everyday use. The inside of the front cover has a thin microfiber material to protect the screen. The back cover is hollowed out plastic to form-fit your Kindle and snaps in with relative ease.Using the enclosed graphic instruction card, I removed the Kindle as shown, having to use just enough pressure to make me a bit concerned for someone who would place and remove their Kindle in this cover frequently. However, I plan on using this cover as a full-time solution for both protection and as a light source.I went ahead and pulled up a book and switched the light on, heading to a closet to see how this looked in complete darkness. The light pulls out of the back cover and is nice and stiff and has a locked full-out position. The spread of the light is greater on top obviously but it does reach the entire screen on the Kindle. There was no glare or reflection and I was able to easily read the page without any noticeable straining.If I were to choose between this design and the Kindle Keyboard lighted cover, which I have used since its release, I would choose this newer cover.Read more","Lightweight, good viewing area. 1,",,AZ Dee,,,finally received kindle lighted leather cover newest version kindle lightweight double triple check description considering state leather cover front cover thin mediumweight cardboard feel leather front cover extremely thin immediately tell surface easily scratched marred normal everyday use inside front cover thin microfiber material protect screen back cover hollowed plastic formfit kindle snap relative easeusing enclosed graphic instruction card removed kindle shown use enough pressure make bit concerned someone would place remove kindle cover frequently however plan using cover fulltime solution protection light sourcei went ahead pulled book switched light heading closet see looked complete darkness light pull back cover nice stiff locked fullout position spread light greater top obviously reach entire screen kindle glare reflection able easily read page without noticeable strainingif choose design kindle keyboard lighted cover used since release would choose newer coverread,1,Electronics,0,Accessories,0.3640501797199249
B002Y27P3M,Amazon,"['Kindle Store', 'Amazon Devices', 'Electronics']",,,AVpfBEWcilAPnD_xTGb7,,"kindlekeyboard/b002y27p3m,amazon/d01101",Amazon,,"Kindle Keyboard,,,
Kindle Keyboard,,,",,,,2015-12-14T00:00:00Z,,,,,,http://www.amazon.com/Kindle-Wireless-Reader-Wifi-Graphite/dp/B002Y27P3M,"The Kindle is my first e-ink reader. I own an iPad, an iPhone, and have owned a Windows-based phone in the past that I used as an ereader.My overall impression of the device is good.The good:I'd honestly rather read linear (read from page one to the end, one page at a time) fiction from it than a book, because I can't always get comfortable with a book. Hardcovers are sometimes a bit heavy, and paperbacks don't always lie open easily. The Kindle is incredibly light and thin. I can hold it in one hand easily. The page turn buttons are conveniently located. Page-turns aren't instant, but they're probably quicker than turning a physical page in a printed book (there are just a lot more page-turns unless you choose a small font). The contrast is better than other ereaders I've seen. There is zero eye strain in good light. My eyesight isn't the greatest and I like being able to increase the font size and read without glasses. I love being able to browse the Kindle store and read samples before deciding to purchase. The experimental browser is surprisingly usable, but isn't great. It is useful for browsing wikipedia and blogs. The biggest drawback to the browser is the awkward pointer navigation, using the 5-way pad. It syncs your furthest read page over the internet so you can pick up where you left off using your iPhone or iPad.The so-so:The kindle store could use more categories and sorting options. You can't sort by top rated, and there is no category for alternate histories, for example. Finding a very-specific type of fiction relies on keyword searches, which don't do a great job. The wifi sometimes doesn't connect before it times-out.Read more","Worth the money. Not perfect, but very very good for start to finish novels in good light",,Jeffrey Stanley,,,kindle first eink reader ipad iphone owned windowsbased phone past used ereadermy overall impression device goodthe goodid honestly rather read linear read page one end one page time fiction book cant always get comfortable book hardcover sometimes bit heavy paperback dont always lie open easily kindle incredibly light thin hold one hand easily page turn button conveniently located pageturns arent instant theyre probably quicker turning physical page printed book lot pageturns unless choose small font contrast better ereaders ive seen zero eye strain good light eyesight isnt greatest like able increase font size read without glass love able browse kindle store read sample deciding purchase experimental browser surprisingly usable isnt great useful browsing wikipedia blog biggest drawback browser awkward pointer navigation using way pad syncs furthest read page internet pick left using iphone ipadthe sosothe kindle store could use category sorting option cant sort top rated category alternate history example finding veryspecific type fiction relies keyword search dont great job wifi sometimes doesnt connect timesoutread,1,Kindle Store,1,Ebook readers,0.43871769309043884
B01AHB9CYG,Amazon,"['Tablets', 'Fire Tablets', 'Electronics', 'Computers', 'Computer Components', 'Hard Drives & Storage', 'Computers & Tablets', 'All Tablets']",,,AVqkIiKWnnc1JgDc3khH,,"841667104690,allnewfirehd8tablet8hddisplaywifi32gbincludesspecialoffersmagenta/5620408,0841667104690,allnewfirehd8tablet8hddisplaywifi32gbincludesspecialoffersmagenta/b01ahb9cyg,amazon/53004761",Amazon,,"All-New Fire HD 8 Tablet, 8 HD Display, Wi-Fi, 32 GB - Includes Special Offers, Magenta",,2017-05-09T00:00:00.000Z,2017-05-23T15:04:06Z,2017-05-10T07:31:00.000Z,,True,,0.0,5.0,http://reviews.bestbuy.com/3545/5620408/reviews.htm?format=embedded,Through all of my research this was the best value for what I was looking for in an e-reader with additional options I was not sure I would use or not. Turns I do because of the ease of usage.,It was everything I was looking for.,,Ronnie,,,research best value looking ereader additional option sure would use turn ease usage,1,Tablets,0,Ebook readers,0.6802342534065247
B01AHB9C1E,Amazon,"['Tablets', 'Fire Tablets', 'Computers & Tablets', 'All Tablets']",,,AVqkIj9snnc1JgDc3khU,,"amazon/b01ahb9c1e,0841667104577,firehd8tabletwithalexa8hddisplay32gbtangerinewithspecialoffers/b01ahb9c1e,firehd8tabletwithalexa8hddisplay32gbtangerinewithspecialoffers/5620411,841667104577",Amazon,,"Fire HD 8 Tablet with Alexa, 8 HD Display, 32 GB, Tangerine - with Special Offers,",,2017-06-03T00:00:00.000Z,2017-06-25T04:22:30Z,"2017-06-03T18:55:00.000Z,2017-06-04T04:29:00.000Z",,True,,0.0,5.0,http://reviews.bestbuy.com/3545/5620411/reviews.htm?format=embedded,My grandkids play on my smaller one. Thought I better get a back up for me.,I like the bigger screen.,,Diego,,,grandkids play smaller one thought better get back,4,Tablets,0,Accessories,0.458853542804718
B01J2G4VBG,Amazon,"['Amazon Devices & Accessories', 'Amazon Device Accessories', 'Power Adapters & Cables', 'Kindle Store', 'Kindle E-Reader Accessories', 'Kindle Paperwhite Accessories']",,,AVsRjfwAU2_QcyX9PHqe,,"0841667120171,841667120171,amazon5wusbofficialoemchargerpoweradapterforfiretabletskindleereaders/b01j2g4vbg",Amazon,,"Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,,,
Amazon 5W USB Official OEM Charger and Power Adapter for Fire Tablets and Kindle eReaders,,,",,2017-08-05T00:00:00.000Z,,2017-12-30T00:00:00Z,,,,,5.0,https://www.amazon.com/product-reviews/B01J2G4VBG/,Bought to use with Kindle. Works fine! Good quality and charges the kindle quickly.,Super quality,,Daniel A. Kerinuk,,,bought use kindle work fine good quality charge kindle quickly,1,Amazon Devices & Accessories,3,Ebook readers,0.8700409531593323
B00ZV9PXP2,Amazon,"['Electronics', 'iPad & Tablets', 'All Tablets', 'Computers/Tablets & Networking', 'Tablets & eBook Readers', 'Computers & Tablets', 'E-Readers & Accessories', 'E-Readers', 'Used:Computers Accessories', 'Used:Tablets', 'Computers', 'iPads Tablets', 'Kindle E-readers', 'Electronics Features']",,,AVqVGZNvQMlgsOJE6eUY,,"allnewkindleereaderblack6glarefreetouchscreendisplaywifiincludesspecialoffers/391843532825,allnewkindleereaderblack6glarefreetouchscreendisplaywifiincludesspecialoffers/b00zv9pxp2,0848719083774,allnewkindleereaderblack6glarefreetouchscreendisplaywifiincludesspecialoffers/252974470193,amazon/b00zv9pxp2,848719083774,allnewkindleereaderblack6glarefreetouchscreendisplaywifiincludesspecialoffers/322538285013,allnewkindleereaderblack6glarefreetouchscreendisplaywifiincludesspecialoffers/5442403,allnewkindleereaderblack6glarefreetouchscreendisplaywifiincludesspecialoffers/kier2016bk,allnewkindleereaderblack6glarefreetouchscreendisplaywifiincludesspecialoffers/162691587356,allnewkindleereaderblack6glarefreetouchscreendisplaywifiincludesspecialoffers/1631053",Amazon,,"Amazon Kindle Fire Hd (3rd Generation) 8gb,,,
Amazon Kindle Fire Hd (3rd Generation) 8gb,,,",,2017-10-09T00:00:00.000Z,,2017-10-10T00:00:00Z,,True,,0.0,5.0,http://reviews.bestbuy.com/3545/5442403/reviews.htm?format=embedded,"What is there to say, but that I love it. Functions well, and lasts a long time.",Great eReader,,ThatFriendWhoAsked,,,say love function well last long time,0,Electronics,0,Accessories,0.40650391578674316
B0083Q04TA,Amazon,"['Computers/Tablets & Networking', 'Tablets & eBook Readers', 'Electronics', 'eBook Readers & Accessories', 'eBook Readers']",,,AVpfwS_CLJeJML43DH5w,,"amazon/53000386,amazonkindlefirehd3rdgeneration8gb/122605594245,amazonkindlefirehd3rdgeneration8gb/152615237936,amazonkindlefirehd3rdgeneration8gb/391871762463,amazonkindlefirehd3rdgeneration8gb/b0083q04ta",Amazon,,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",,2012-09-14T00:00:00Z,,2015-11-04T00:00:00Z,,,,,,http://www.amazon.com/Kindle-Display-Wi-Fi-Previous-Generation/dp/B0083Q04TA,"UPDATE: I bought both a Fire HD and a Gen 2. (as a present to my mother in law) My initial reviews were written after playing with them for like 20 minutes. I merged both reviews into one to really compare the two products. I'm still answering questions in the comments if you have any. And see the video that compares the two and gives a mini tour of the Kindle system.My Background: I've had 4 android phones, I've had multiple e-readers and my latest 'touch' device is the Le Pan II Android tablet. I've worked on several iPads but never been compelled to spend the extra money for one myself. Wife has a first generation Fire.The new Kindle Fire and Fire HD are the second generation color kindle e-reader/media player/tablet devices. The original Fire received a lot of well earned 4 star reviews. It was a great product but at the end of the day, it was a first generation product. It was no iPad slayer. The Fire HD raises the bar and raises it quite a lot. Jeff Bezos said they set out to make the best tablet available period and -in some regards- they did that in spades. In other ways not so much. (more on this below in the closing thoughts)HARDWARE:BUILD QUALITY:- BOTH are top Notch. I didn't expect anything less from Amazon but they really are solid feeling.- FIRE HD lighter and while it is about the same thickness, the edges are rounded more like an iPad. sleeker look and more comfortable to hold.- FIRE GEN 2 is heavier and 'boxier' built to more fit existing covers I guess. It's heavier too.SIZING:The HD is just a bit taller but a decent bit wider than the Fire. --- NOTE pay attention to accessories because THEY ARE NOT THE SAME SIZE.Read more",Compare FIRE HD to the KINDLE FIRE GEN 2,,clickz4,,,update bought fire hd gen present mother law initial review written playing like minute merged review one really compare two product im still answering question comment see video compare two give mini tour kindle systemmy background ive android phone ive multiple ereaders latest touch device le pan ii android tablet ive worked several ipads never compelled spend extra money one wife first generation firethe new kindle fire fire hd second generation color kindle ereadermedia playertablet device original fire received lot well earned star review great product end day first generation product ipad slayer fire hd raise bar raise quite lot jeff bezos said set make best tablet available period regard spade way much closing thoughtshardwarebuild quality top notch didnt expect anything less amazon really solid feeling fire hd lighter thickness edge rounded like ipad sleeker look comfortable hold fire gen heavier boxier built fit existing cover guess heavier toosizingthe hd bit taller decent bit wider fire note pay attention accessory sizeread,1,Computers/Tablets & Networking,3,Accessories,0.6122825145721436
B018Y229OU,Amazon,"['Fire Tablets', 'Tablets', 'Computers & Tablets', 'All Tablets', 'Electronics', ' Tech Toys', ' Movies', ' Music', 'Electronics', 'iPad & Tablets', 'Android Tablets', 'Frys']",,,AVphgVaX1cnluZ0-DR74,,"firetablet7displaywifi8gbincludesspecialoffersmagenta/5025800,841667103105,0841667103105,amazon/b018y229ou,firetablet7displaywifi8gbincludesspecialoffersmagenta/b018y229ou",Amazon,,"Fire Tablet, 7 Display, Wi-Fi, 8 GB - Includes Special Offers, Magenta",,2016-12-23T00:00:00.000Z,2017-07-02T18:59:13Z,"2017-06-07T08:20:00.000Z,2017-04-30T00:09:00.000Z",,True,,0.0,4.0,"http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=402,http://reviews.bestbuy.com/3545/5025800/reviews.htm?format=embedded&page=368","Good basic tablet for checking email , web browsing , and reading ebooks.",Good,,Jacques,,,good basic tablet checking email web browsing reading ebooks,1,Fire Tablets,0,Ebook readers,0.8159441351890564
